업소명,운영상태코드,주소,전화번호,지역
"대성산업씨엔에스(주)","폐업","서울특별시 구로구 구로1동 685번지 140호 사모아상가 404호","3281-5421",구로구
"미래환경","폐업","서울특별시 구로구 구로4동 139번지 36호","839-3116",구로구
"비앤에스코리아","영업중","","",구로구
"주식회사 세스타","영업중","서울특별시 구로구 개봉동 470번지 삼환상가 상가동 301호","",구로구
"그린존 해충제로","폐업","서울특별시 구로구 고척1동 141번지 1호 서울가든아파트 138호","",구로구
"(주)세연종합관리","영업중","서울특별시 구로구 가리봉동 135번지 68호 613호","02-2658-7724",구로구
"주식회사 블루원코리아","폐업","서울특별시 구로구 고척동 83번지 6호","",구로구
"두성건설(주)","영업중","서울특별시 구로구 구로동 606번지 1호 구로기계공구상가 D블럭 지층 3346호","02-2636-8454",구로구
"해충크린","영업중","서울특별시 구로구 개봉동 109번지 20호","",구로구
"(주)청우씨엔에스","","서울특별시 구로구 구로5동 49번지 금호하우스텔 322호","",구로구
"삼진성흥(주)","폐업","서울특별시 구로구 구로5동 49번지 101 A호","",구로구
"공동체깔끄미","폐업","서울특별시 구로구 구로동 442번지 217호 지층","856-7040",구로구
"청소코끼리","폐업","서울특별시 구로구 오류1동 109번지 1호","2689-8791",구로구
"보라매보호작업장","영업중","서울특별시 구로구 구로동 414번지 14호","070-4418-9277",구로구
"리노환경연구소","영업중","서울특별시 구로구 구로동 442번지 217호","1811-2850",구로구
"하얀나래","영업중","서울특별시 구로구 온수동 68번지","",구로구
"(주)일천하이텍","폐업","서울특별시 구로구 구로4동 97번지 1호 로얄프라자 101호","856-1064",구로구
"홈로취케어","영업중","서울특별시 구로구 개봉동 455번지 7호","1661-6179",구로구
"디엔크린","폐업","서울특별시 구로구 오류동 336번지 동부아파트 상가동 103호","1544-5231",구로구
"서울구로지역자활센터 e편한인테리어","영업중","서울특별시 구로구 구로동 740번지 44호 1층","070-7730-5465",구로구
"(주)혜성지엔씨","폐업","서울특별시 구로구 구로4동 142번지 62호 대덕빌딩 3층 302호","02-895-9905",구로구
"오행종합개발(주)","영업중","서울특별시 구로구 가리봉동 89번지 66호 3층","868-6547",구로구
"청소코끼리주식회사","영업중","서울특별시 구로구 온수동 45번지 32호 성원상가 2층","2689-8791",구로구
"청소코끼리주식회사","영업중","서울특별시 구로구 온수동 45번지 32호 성원상가 2층","2689-8791",구로구
"청소코끼리주식회사","영업중","서울특별시 구로구 온수동 45번지 32호 성원상가 2층","2689-8791",구로구
"선린CS","폐업","서울특별시 구로구 구로동 107번지 8호 2동 1층(미주프라자)","",구로구
"(주)그리폰유","영업중","서울특별시 구로구 고척동 98-148","02-2060-1922",구로구
"(주)아이피엘씨","영업중","서울특별시 구로구 구로동 212번지 13호 벽산디지털밸리Ⅲ 510호","02-856-6955",구로구
"(주)정원종합관리","영업중","서울특별시 구로구 구로동 604번지 1호 구로기계공구상가 B블럭 10동 225호","02-928-5440",구로구
"주식회사 씨앤","영업중","서울특별시 구로구 개봉동 472번지 두산아파트 상가동 302호","",구로구
"(주)지앤씨피아","영업중","서울특별시 구로구 구로동 197번지 10호 이앤씨벤처드림타워2차 707호","6347-0707",구로구
"다온환경해충시스템","영업중","서울특별시 구로구 구로3동 1256번지 구로현대아파트 상가 1층 103호","",구로구
"진명","영업중","서울특별시 구로구 오류동 6번지 17호 유진빌딩 404호","02-2688-1830",구로구
"(주)비앤알월드","영업중","서울특별시 구로구 구로동 437번지 1호 성보빌딩 2층 205호","02-6081-0912",구로구
"금호환경","직권폐업","서울특별시 구로구 가리봉동 2번지 137호","858-3245",구로구
"에코에스","폐업","서울특별시 구로구 개봉2동 310번지 38호","6085-8090",구로구
"주식회사 나눔아이엔씨","폐업","","02-2069-2292",구로구
"청정CS","영업중","서울특별시 구로구 구로동 49번지 427호","",구로구
"주식회사 성보환경","영업중","서울특별시 구로구 구로동 84번지 12호","02-866-6622",구로구
"(주)세스코 서울남서지사","영업중","서울특별시 구로구 구로5동 23번지 1호","2140-0100",구로구
"(주)오케이빌스","영업중","서울특별시 구로구 구로동 26번지","02-522-6155",구로구
"벌레자바","영업중","서울특별시 구로구 고척동 103번지 4호 2층 가동 나열210호","",구로구
"주식회사 에스탑","영업중","서울특별시 구로구 구로동 3번지 25호 14층 002호","02-2111-1272~3",구로구
"주식회사 성우서비스","영업중","서울특별시 구로구 고척동 50번지 46호","02-3273-7030",구로구
"청소코끼리주식회사","영업중","서울특별시 구로구 온수동 45번지 32호 성원상가 2층","2689-8791",구로구
"청소코끼리주식회사","영업중","서울특별시 구로구 온수동 45번지 32호 성원상가 2층","2689-8791",구로구
"청소코끼리주식회사","영업중","서울특별시 구로구 온수동 45번지 32호 성원상가 2층","2689-8791",구로구
"(주)퍼스트이엔씨","영업중","서울특별시 구로구 구로동 186번지 7호 예성유토피아 101동 104호","",구로구
"청소코끼리주식회사","영업중","서울특별시 구로구 온수동 45번지 32호 성원상가 2층","2689-8791",구로구
"청소코끼리주식회사","영업중","서울특별시 구로구 온수동 45번지 32호 성원상가 2층","2689-8791",구로구
"청소코끼리주식회사","영업중","서울특별시 구로구 온수동 45번지 32호 성원상가 2층","2689-8791",구로구
"로취사이언스","폐업","서울특별시 구로구 개봉동 315번지 9호 지층","2612-6797",구로구
"아이피엘비","영업중","서울특별시 구로구 구로동 501번지 8호 지하1층","02-856-6955",구로구
"파트너스 시스템(주)","영업중","서울특별시 구로구 구로동 197번지 33호 901호","02-6900-0878",구로구
"(주)에스존","영업중","서울특별시 구로구 개봉동 312번지 4호","2687-2368",구로구
"(주)듀델코리아","영업중","서울특별시 구로구 개봉동 280번지 7호 KT개봉지점 4층","02-806-5500",구로구
"서울구로삶터지역자활센터","영업중","","02-856-0516",구로구
"나라크린","영업중","서울특별시 구로구 오류동 27번지 38호","",구로구
"닥터버그","영업중","서울특별시 구로구 고척동 141번지 1호 서울가든아파트 상가동 134호","",구로구
"다치움","영업중","서울특별시 구로구 구로동 437번지 동남빌딩 301호","",구로구
"한국방제시스템","폐업","서울특별시 구로구 구로1동 685번지 140호 사모아쇼핑 212호","2060-5118",구로구
"(주)깔끄미","영업중","서울특별시 구로구 개봉동 305번지 7호 그레이스빌 101호","",구로구
"그린에프파이브구로본부","영업중","서울특별시 구로구 항동 128번지 2호 가온 프라자 404호","02-2611-3239",구로구
"그린토탈크리닝","폐업","서울특별시 노원구 상계동 694번지 임광상가 203호","02-939-0840",노원구
"하얀공간방역","폐업","","02-934-2317",노원구
"(주)토마토세븐","영업중","서울특별시 노원구 상계동 6구역44블럭1롯트건영주상복합상가124125126.","",노원구
"스마일존","폐업","서울특별시 노원구 월계2동 633번지 105호","",노원구
"(주)성주원","영업중","서울특별시 노원구 상계동 111번지 279호 초산아트빌라","02-3391-1175",노원구
"(주)지산아이앤씨","영업중","서울특별시 노원구 상계5동 442번지 7호 1층","070-4915-0869",노원구
"현우이앤씨(E&C)","직권폐업","서울특별시 노원구 상계3.4동 101번지 83호 1층","02-937-7857",노원구
"(주)경성종합관리","폐업","서울특별시 노원구 상계동 83번지 30호 지층","02-933-7464",노원구
"(주)토마토세븐","영업중","서울특별시 노원구 공릉동 441번지 92호","02-953-7410",노원구
"(주)다은개발","영업중","서울특별시 노원구 상계동 450번지","02-857-2291",노원구
"북부장애인직업재활시설","영업중","서울특별시 노원구 상계동 771번지 북부장애인복지관","02-2092-1792",노원구
"페스코","영업중","서울특별시 노원구 상계동 1118번지 34호","02-930-4041",노원구
"(주)현우환경","영업중","서울특별시 노원구 중계1동 358번지 주공아파트3단지상가 204호 209호","02-908-4473",노원구
"신한종합관리(주)","영업중","서울특별시 노원구 공릉1동 499번지 56호","02-978-8330",노원구
"베스트서비스","영업중","","02-3399-5204",노원구
"버그폴리스","영업중","서울특별시 노원구 하계동 251번지 하계1차 청구아파트 상가","02-974-8112",노원구
"해오름크린","영업중","서울특별시 노원구 상계동 434번지 41호","02-938-2257",노원구
"정담그린환경","영업중","서울특별시 노원구 공릉동 622번지 103호","02-971-9055",노원구
"(주)세원종합관리","영업중","서울특별시 노원구 공릉동 379번지 34호","02-938-9545",노원구
"이레피앤알","영업중","서울특별시 노원구 상계동 1293번지 상계불암현대아파트 상가동 104호","031-861-8252",노원구
"태성","영업중","서울특별시 노원구 공릉동 492번지 3호 서진프라자아파트","02-973-8858",노원구
"한국위생방역협동조합","영업중","서울특별시 노원구 상계동 1110번지 두산아파트","02-938-2257",노원구
"인동종합관리(주)","영업중","서울특별시 노원구 중계본동 27번지","02-951-5220",노원구
"바퀴랑개미랑","영업중","서울특별시 노원구  450번지 교림노원프라자 B107호","02-930-3040",노원구
"(주)대경방제","영업중","서울특별시 노원구 상계2동 1054번지 5호","02-992-0625",노원구
"비전기업","영업중","서울특별시 노원구 상계6.7동 731번지 4호 8층","02-6436-8132",노원구
"(주)센추리건설관리","영업중","서울특별시 노원구 상계동 77번지 51호 대림프라자 302호","02-933-7041",노원구
"(주)재우씨엔씨","영업중","서울특별시 노원구 하계1동 256번지 12호","02-971-3156",노원구
"엑스터","영업중","서울특별시 노원구 중계본동 78번지 진로유통조합상가지층2.3호","02-936-6836",노원구
"진명종합시스템(주)","영업중","서울특별시 노원구 상계동 1285번지 동아불암아파트 상가 224","",노원구
"해맑음","영업중","서울특별시 노원구 상계동 1078번지 현대2차아파트상가 101호","02-949-6739",노원구
"그린하우스","영업중","서울특별시 노원구 월계동 37번지 12호","02-3292-1009",노원구
"더파인(The Fine)","영업중","서울특별시 노원구 상계동 169번지 210호 신흥빌딩 401-5호","",노원구
"(주)휴빌스 복지 매니지먼트","폐업","서울특별시 노원구 공릉동 622번지 노원사회적경제지원센터 203호","",노원구
"신산천","영업중","서울특별시 노원구 상계동 733번지 1호 광일빌딩","02-933-7333",노원구
"버민빌환경","폐업","서울특별시 노원구 상계2동 1309번지 한일유앤아이아파트 상가 101","",노원구
"해맑음보호작업시설","영업중","서울특별시 노원구 공릉동 323번지 15호 1층 해맑음보호작업시설","02-949-6739",노원구
"(주)세명관리이엔지","영업중","서울특별시 노원구 상계1동 1118번지 42호","02-939-5445",노원구
"(주)신화비엠씨","영업중","서울특별시 노원구 상계동 456번지 133호 3층","932-9997",노원구
"우리시설관리센터","폐업","서울특별시 노원구 월계1동 476번지 23호","941-6594",노원구
"안티벅스","폐업","","",노원구
"(주)덕산안전관리","영업중","상계동 37번지 16호 상계대림프라자 306호","02-951-7287",노원구
"(주)일우개발","폐업","서울특별시 노원구 중계1동 445번지 염광아파트 상가동 B1920호","",노원구
"서울노원남부지역자활센터","폐업","서울특별시 노원구 월계1동 496번지 56호","941-6594",노원구
"주식회사 디앤디바이오인터내셔날","폐업","서울특별시 노원구 중계동 311번지 경복빌딩 4층","02-930-2530",노원구
"미진환경","영업중","서울특별시 노원구 상계동 1321번지 건영아파트","02-930-4646",노원구
"굿모닝 환경","폐업","서울특별시 노원구 하계1동 256번지 주공9단지아파트 제1상가105호","932-7185",노원구
"하얀공간방역","영업중","","02-934-2317",노원구
"클린앤캐치","영업중","서울특별시 노원구 상계동 581번지 55호","02-6494-0043",노원구
"(주)행복안전시스템","폐업","서울특별시 노원구 공릉1.3동 571번지 16호 연송빌딩4층402호","949-5215",노원구
"스마일존","영업중","서울특별시 노원구 공릉동 382번지 22호","070-8623-3699",노원구
"안심공간 사람과 환경","영업중","서울특별시 노원구 상계동","02 -932-5007",노원구
"주식회사 친환경넘버원","폐업","서울특별시 노원구 상계동 173번지 1호 벽산아파트상가 109동 지18호","02-936-5757",노원구
"(주)신화아이앤에스","폐업","서울특별시 노원구 공릉1.3동 382번지 15호","02-948-0545",노원구
"그린F5","영업중","서울특별시 노원구 상계동 156번지 17호","",노원구
"서울노원남부지역자활센터","영업중","서울특별시 노원구 공릉동 584번지 10호 연세빌딩","02-941-6594",노원구
"(주)신화비엠씨","영업중","서울특별시 노원구 상계동 456번지 133호","02-932-9997",노원구
"(주)토마토세븐씨앤알","폐업","서울특별시 노원구 공릉동 568번지 1호 3층","02-979-7412",노원구
"해충박사","영업중","서울특별시 노원구 공릉동 645번지 19호","070-7776-4695",노원구
"휴빌스 하우징 종합관리","영업중","서울특별시 노원구 공릉동 591번지 1호","02-3391-7708",노원구
"에스에이치티엠자주종합관리(주)","폐업","서울특별시 노원구 중계4동 434번지 2호  현대종합상가 1층 110호","02-6402-1119",노원구
"K-방역단","영업중","서울특별시 노원구 상계동 437 옷수선 1층","",노원구
"(주)대주지에스","영업중","서울특별시 노원구 공릉동 379번지 34호 동욱빌딩2층","02-938-9545",노원구
"(주)세스코 서울북부지사","영업중","서울특별시 노원구 상계동 1132번지 63호 대성빌딩","02-932-3234",노원구
"(주)21세기매니지먼트","영업중","서울특별시 노원구 상계동 321번지 57호","02-931-8880",노원구
"캐치벅스(CATCH BUGS)","영업중","서울특별시 노원구 상계동 450번지 교림노원프라자 121호","02-2208-0243",노원구
"그린F5노원점","영업중","서울특별시 노원구 상계동 450번지 교림노원프라자 307-1호","02-1800-1785",노원구
"(주)한빛티에스","영업중","서울특별시 노원구 공릉동 382번지 15호","02-971-6636",노원구
"디앤엠씨 플래너스","영업중","서울특별시 노원구 상계동 1267번지 토마토파르코 1312호","",노원구
"비츠로(BITZRO)","영업중","상계동 1054번지 5호 28통 5반 지층","02-6465-9522",노원구
"맑은나래","영업중","서울특별시 노원구 상계동 135번지 78호 어린이속셈학원 101호","",노원구
"녹색나라","영업중","서울특별시 노원구 상계동 1257번지 북부종합사회복지관","02-952-7184",노원구
"좋은사람들","폐업","","",노원구
"가람솔","영업중","서울특별시 노원구 공릉동 742번지 효성아파트 상가동 202호","070-7121-2528",노원구
"비엔씨글로벌","영업중","서울특별시 노원구 월계동 321-2 희성프라자 609-1호","",노원구
"알파벳에이디","영업중","서울특별시 노원구 중계동 84-7 현대프라자","",노원구
"(주)씨유앤아이","영업중","서울특별시 노원구 상계동 1267 토마토파르코 1212호","",노원구
"(주)태경티엠에스","영업중","서울특별시 노원구 월계동 803번지 1호 극동아파트","02-963-2333",노원구
"마포지역자활센터","폐업","","312-7945",마포구
"(주)동성티엠에스","영업중","","02-701-8005",마포구
"피닉스","영업중","서울특별시 마포구 신수동 371번지 16호 순총빌딩 B101호","",마포구
"한미시설관리(주)","영업중","서울특별시 마포구 도화동 288번지 1호","02-713-1110",마포구
"(주)현장종합관리","영업중","서울특별시 마포구 동교동 165번지 8호 LG팰리스빌딩  5층","02-333-3842",마포구
"(주)다빈환경","영업중","서울특별시 마포구 망원동 421번지 12호","02-337-5063",마포구
"SK방역공사","폐업","서울특별시 마포구 도화동 삼창프라자빌딩 13층","02-714-1119",마포구
"(주)잡마스터","영업중","서울특별시 마포구 도화동 538번지 성지빌딩 809호","02-701-0369",마포구
"신풍종합개발","폐업","서울특별시 마포구 염리동 147번지 2호 지하1층","02-6048-9008",마포구
"반딧불이(주)이지코퍼레이션","폐업","서울특별시 마포구 도화동 555번지 한화오벨리스크 101동 2908호","02-711-5110",마포구
"닥터버그","폐업","서울특별시 마포구 신수동 88번지 9호 지층","02-306-7959",마포구
"더존119","폐업","서울특별시 마포구 구수동 68번지 29호 창성빌딩 4층","713-1636",마포구
"준온","직권폐업","서울특별시 마포구 합정동 370번지 39호 성우빌딩 B03호","",마포구
"렌토킬이니셜코리아 주식회사","영업중","서울특별시 마포구 신수동 371번지 19호","1577-1196",마포구
"(주)휴콥","영업중","서울특별시 마포구 창전동 6번지 170호 2층","02-338-2707",마포구
"선우환경관리(주)","폐업","서울특별시 마포구 신정동 30번지 서강엘지(아)상가 106호","02-702-0435",마포구
"서울도시철도엔지니어링(주)","폐업","서울특별시 마포구 대흥동 267번지 대흥역사내","6311-8727",마포구
"주식회사 지티비에스","폐업","서울특별시 마포구 도화동 성지빌딩 C305","716-5156",마포구
"(주)올포원지엠","폐업","서울특별시 마포구 용강동 11번지 풍년빌딩 2층","02-783-0081",마포구
"(주)평화크린텍","영업중","서울특별시 마포구 성산동 277번지 53호","02-338-6694",마포구
"(주)리드원종합관리","영업중","서울특별시 마포구 동교동 165번지 8호 LG팰리스빌딩 1707호","02-3142-3815",마포구
"그린F5마포본부","영업중","","",마포구
"(주)이지코퍼레이션(반딧불이)","영업중","서울특별시 마포구 도화동 559번지 마포트라팰리스","",마포구
"(주)하이진텍","영업중","","02)6952-2053",마포구
"(주)티앤에스자산관리","영업중","서울특별시 마포구 공덕동 253번지 42호 지방재정회관 5층","3274-2699",마포구
"(주)더숲건설산업","영업중","서울특별시 마포구 성산동 593번지 6호 삼영빌딩 3층","02-302-5722",마포구
"(주)가드탑시큐리티","폐업","서울특별시 마포구 망원1동 379번지 41호 2층","",마포구
"(주)효건브릿지","직권폐업","서울특별시 마포구 서교동 376번지 5호 대광빌딩 201호","02-333-2278",마포구
"청우C.S","폐업","서울특별시 마포구 합정동 376번지 17호 신우빌딩 110호","02-6414-6471",마포구
"서울도시철도그린환경(주)","영업중","서울특별시 마포구 성산동 591번지 2호 성산별관 2층","02-6311-8349",마포구
"(주)그린피아한성","영업중","서울특별시 마포구 서교동 379번지 18호","02-862-6025",마포구
"백상기업(주)","영업중","서울특별시 마포구 도화동 51번지 1호 4층(404~407호)","3270-7257",마포구
"365해충제로","폐업","서울특별시 마포구 신수동 459번지 밤섬경남아너스빌 B101호","02-332-6699",마포구
"(주)에코그린티엠","영업중","서울특별시 마포구 신정동 2번지 1호 옥산빌딩 301호","02-355-3322",마포구
"오라산업관리(주)","영업중","서울특별시 마포구 망원동 426번지 7호 한성빌딩  201호","02-707-3612",마포구
"(주) 상우알에스","폐업","서울특별시 마포구 공덕동 370번지 4호","02-706-2120",마포구
"글로벌에이티시(주)","폐업","서울특별시 마포구 동교동 165번지 8호 LG팰리스빌딩 504호","02-333-9605",마포구
"(주)씨앤","영업중","서울특별시 마포구 상암동 2번지 300호","",마포구
"(주)인광엔지니어링","폐업","서울특별시 마포구 서교동 463번지 29호 (3층)","02-338-4602",마포구
"(주)지수아이앤씨","영업중","서울특별시 마포구 공덕동 275번지 LG마포빌딩","02-705-3900",마포구
"청아하게","영업중","서울특별시 마포구 신수동 47-17","02-702-6315",마포구
"주식회사 서비스플러스","영업중","서울특별시 마포구 창전동 6번지 140호 후암빌딩","041-555-1388",마포구
"(주)킴스코리아씨앤엠","폐업","서울특별시 마포구 아현동 437번지 3호 고려아카데미텔 1702호","02-363-3322",마포구
"(주)필씨엔에스","영업중","서울특별시 마포구 망원1동 482번지 8호","02-363-1201",마포구
"칠남매에스엔에이","폐업","서울특별시 마포구 서교동 394번지 57호 2층","",마포구
"케이에프앤에스(주)","폐업","서울특별시 마포구 염리동 85번지 2호 케이티솔루션센터 7층","02-3278-1361",마포구
"터미닉스코리아서울중부지사","영업중","서울특별시 마포구 용강동 494번지 24호 덕산빌딩","02-553-5200",마포구
"(주)현장종합자산관리","폐업","서울특별시 마포구 동교동 165번지 8호 LG팰리스빌딩 1707호","02-3141-5583",마포구
"(주)더다솜","폐업","서울특별시 마포구 서교동 480번지 24호 3층","02-325-4271",마포구
"(주)현장종합자산관리","삭제","서울특별시 마포구 동교동 165번지 8호 LG팰리스빌딩 1707호","02-3141-5583",마포구
"(주)패스원","영업중","서울특별시 마포구 성산동 108번지 12호 영재빌딩 6층 602호","322-7729",마포구
"백상비엠에스(주)","영업중","","3270-7200",마포구
"(주)세스코 마포지사","영업중","서울특별시 마포구 성산동 56번지 1호 씨에스타워","02-338-7141",마포구
"(주)창남미화방역","폐업","서울특별시 마포구 도화동 2번지 42호 지하 1층","714-7251",마포구
"(주)씨스엠","영업중","서울특별시 마포구 대흥동 298번지 신동빌딩 3층","02-712-6523",마포구
"(주)미성산업개발","폐업","서울특별시 마포구 마포동 36번지 1호","02-701-7223",마포구
"(주)백제기업","영업중","서울특별시 마포구 용강동 494번지 13호 신석빌딩 2층","02-718-8855",마포구
"복지실업","폐업","서울특별시 마포구 망원동 404번지 32호 지하1층","02-336-1681",마포구
"(주)이푸른환경","영업중","서울특별시 마포구 성산동 36번지 43호 202호","02-332-4488",마포구
"(주)에스디엠엔씨","영업중","서울특별시 마포구 서교동 449번지 5호 에스디타워비엔씨 7층","02-333-6843",마포구
"스마일상사","폐업","서울특별시 마포구 공덕동 105번지 236호 301호","",마포구
"(주)스타키퍼","폐업","서울특별시 마포구 아현동 424번지 35호 예원빌딩 4층","",마포구
"주식회사 엠피에스","폐업","서울특별시 마포구 서교동 481번지 5호","02-334-8811",마포구
"잡에취에스 주식회사","","서울특별시 마포구 도화동 250번지 4호","02-572-5765",마포구
"(주)대한안전관리공사","영업중","서울특별시 마포구 도화동 37번지 진도빌딩 10층 1호","02-716-1343",마포구
"(주)지엠스","영업중","서울특별시 마포구 도화동 538번지 성지빌딩 806호","02-497-0574",마포구
"(주)두원에이앤씨","폐업","","865-5025",마포구
"한미래산업(주)","영업중","서울특별시 마포구 서교동 247번지 54호","02)333-4273",마포구
"(주)제일휴먼스","영업중","서울특별시 마포구 노고산동 1번지 3호","02-2268-2937",마포구
"에코씨에스","영업중","서울특별시 마포구 성산동 142번지 9호 세원아파트 지하 상가1415호","02-303-7359",마포구
"나라오이코스(주)","영업중","서울특별시 마포구 연남동 487번지 8호 B01호","07075309700",마포구
"주식회사 청우크린시스템","폐업","서울특별시 마포구 합정동 376번지 17호 신우빌딩  104호","6414-6471",마포구
"재성환경","폐업","서울특별시 마포구 망원동 439번지 5호 성도빌라  3동 B101호","02-333-2452",마포구
"(주)건영자원환경","폐업","","15447752",마포구
"(주)제이앤드림","영업중","서울특별시 마포구 망원동 479번지 65호 3층","",마포구
"(주)성산산업개발","영업중","서울특별시 마포구 성산동 114번지 11호 1층","02-325-4795",마포구
"(주)에스디엠케이","영업중","서울특별시 마포구 서교동 449번지 5호 602호(SD Tower B&C)","02-3141-2728",마포구
"(주)씨앤씨에스에스","영업중","서울특별시 마포구 도화동 544번지 고려빌딩","02-6351-1004",마포구
"(주)라온서비스","영업중","서울특별시 마포구 용강동 149번지 81호","070-8064-4458",마포구
"(주)에스비에이엠씨","영업중","서울특별시 마포구 공덕동 254번지 5호 신용보증기금빌딩 18층","711-5387",마포구
"참조은환경(주)","영업중","서울특별시 마포구 성산동 142번지 1호 미소빌딩 4층","02-3142-9700",마포구
"주식회사 에이씨휴먼넷","영업중","서울특별시 마포구 노고산동 49번지 31호 11층(농협중앙회신촌복합건물)","02-725-5511",마포구
"(주)다홈테크놀러지","영업중","서울특별시 마포구 성산동 208번지 9호 대정빌딩 3층","02-1522-5797",마포구
"(주)인광엔지니어닝","폐업","서울특별시 마포구 서교동 444번지 9호 301호","338-4602",마포구
"(주)나라종합관리","폐업","서울특별시 마포구 서교동 440번지 5호 명빌딩 601호","02-304-5222",마포구
"(주)청운그린","폐업","서울특별시 마포구 마포동 136번지 1호 한신빌딩 1601호","02-711-8969",마포구
"(주)티알아이인터내셔널","영업중","","3663-0707",마포구
"티에이치케어","영업중","서울특별시 마포구 서교동 358번지 49호 3층","",마포구
"HS호위성원파트너스","폐업","서울특별시 마포구 합정동 370번지 9호 벤처빌딩 415호","02-712-9555",마포구
"HS호위성원파트너스","영업중","서울특별시 마포구 합정동 370번지 9호","",마포구
"(주)제이콥퍼레이션","영업중","서울특별시 마포구 서교동 395번지 179호","",마포구
"마포구립장애인직업재활센터","영업중","","302-0392",마포구
"(주)서브엔","영업중","서울특별시 마포구 동교동 205번지 7호 청운빌딩","02-3211-8800",마포구
"주식회사 드웰링","영업중","서울특별시 마포구 상암동 1649번지 DMC 산학협력연구센터","1522-0411",마포구
"(주)케이티에스","영업중","","3478-9500",마포구
"(주)에스디케이","영업중","서울특별시 마포구 서교동 449번지 5호 에스디타워비엔씨 7층","02-337-9773",마포구
"(주)아시아월드","영업중","서울특별시 성동구 성수동2가 277번지 17호 성수아카데미타워 1202호","02-424-5259",성동구
"동아환경개발주식회사","영업중","서울특별시 성동구 용답동 232번지 6호 송전빌딩 109호","2247-3541",성동구
"주식회사 윈피앤에스","영업중","","460-3094",성동구
"(주)석촌에스지","직권폐업","서울특별시 성동구 성수동2가 275번지 3호 경성빌딩 3층","02-563-0075",성동구
"리더스리빙","폐업","서울특별시 성동구 성수동2가 300번지 1호 지하1층","1588-0964",성동구
"만국환경","폐업","서울특별시 성동구 금호동1가 179번지 10호 1층","2296-1413",성동구
"(주)서울메트로환경","영업중","서울특별시 성동구  223번지 5호","",성동구
"(주)디엠에스","폐업","","024619181",성동구
"슈퍼맨 주식회사","영업중","","",성동구
"향우종합관리주식회사","","서울특별시 성동구 성수1가1동 656번지 282호 삼일빌딩 8층","417-9830",성동구
"티엠환경(주)","폐업","서울특별시 성동구 도선동 16번지 2호 골롬반빌딩3층","2295-8387",성동구
"대한민국재향군인회","영업중","서울특별시 성동구 성수1가1동 656번지 75호","416-9632",성동구
"(주)동원 C&S","폐업","","02-2210-4898",성동구
"빌딩케어관리","영업중","서울특별시 성동구 성수동2가 273번지 10호 풍림테크원","",성동구
"서운에스엠주식회사","영업중","","02-2246-0663",성동구
"대한민국 특전사동지회 환경개선단","폐업","","",성동구
"우청개발(주)","폐업","서울특별시 성동구 마장동 771번지 7호","2296-5090",성동구
"한국방역협회 사업지원단","영업중","서울특별시 성동구 성수동2가 273번지 24호 대한빌딩 604호","02-467-7630",성동구
"(주)엠앤에스엔터프라이즈","영업중","서울특별시 성동구 성수1가1동 400번지 1호","498-7106",성동구
"부림위생(주)","영업중","서울특별시 성동구 왕십리2동 975번지 29호 지하1층","842-6125",성동구
"(주)소낙스앤인","영업중","서울특별시 성동구 성수동2가 277번지 17호 성수아카데미타워 315호","1644-7644",성동구
"주식회사 동행","영업중","서울특별시 강북구 미아동 1353번지 SK북한산시티아파트","02-719-9451",성동구
"일신기업","영업중","서울특별시 성동구 행당2동 317번지 31호 2층","",성동구
"서울방역","영업중","서울특별시 성동구 홍익동 150번지 4층","",성동구
"대양환경공사","영업중","서울특별시 성동구 하왕십리동 990번지 한신무학아파트 상가 205호","474-5556",성동구
"(주)덕정환경","영업중","서울특별시 성동구 왕십리2동 990번지 한신무학아파트상가 108호","2297-3222",성동구
"미래네트웍스","영업중","서울특별시 성동구 용답동 234번지 장안평중고자동차시장 B호 C동 2층 가열 19호","",성동구
"광명환경","영업중","서울특별시 성동구 성수동2가 279번지 50호 성수1차 대우아파트 상가 220-1호","",성동구
"케이케어","폐업","","02-353-4726",성동구
"클린데이","영업중","서울특별시 성동구 도선동 70번지 창성빌딩 253호","",성동구
"깨끗한세상1호점","폐업","서울특별시 성동구 금호동1가 1566번지 5호","2299-5933",성동구
"그린F5 성동본부","폐업","서울특별시 성동구 도선동 69번지 성동삼성쉐르빌 상가 101동 141호","02-538-3971",성동구
"아페스코(APESCO)","영업중","서울특별시 성동구 성수동2가 289-39 2층 202호","",성동구
"자연환경","영업중","서울특별시 성동구 성수동2가 281번지 16호 일신건영휴먼테코 1101호","02-403-0084",성동구
"(주)엘림실업","직권폐업","서울특별시 성동구 성수2가3동 284번지 67호","499-0124",성동구
"청정CS","영업중","서울특별시 성동구 용답동 49번지 427호","",성동구
"유원 티씨에스","영업중","서울특별시 성동구 성수동2가 299번지 94호 1층","467-3992",성동구
"(주)신웅환경시스템","영업중","서울특별시 성동구 행당1동 37번지 27호 2층","2281-9114",성동구
"주식회사 퓨처쉐이퍼스","영업중","서울특별시 성동구 성수동1가 13번지 164호 서울숲 IT 밸리 805호","02-568-5534",성동구
"(주)에스앤씨서비스","영업중","서울특별시 성동구 성수동1가 656번지 281호 삼일빌딩 9층 2호","465-9933",성동구
"오대양시스템","영업중","서울특별시 성동구 금호동3가 776번지 202호","2632-2177",성동구
"(주)에버크린","폐업","서울특별시 성동구 성수2가3동 284번지 67호 창미빌딩 406호","469-4931",성동구
"(주)테크인코리아","휴업","","02-469-4500",성동구
